sample	unit	fq1	fq2	parhap	mother	inducer
MM1194	KFRAG_01374_c	KFRAG_01374_c.fq.gz	NaN	haploid	93_003	IVP35
MM1195	KFRAG_01375	KFRAG_01375.fq.gz	NaN	haploid	93_003	IVP35
MM1195	KFRAG_01375_b	KFRAG_01375_b.fq.gz	NaN	haploid	93_003	IVP35
MM1195	KFRAG_01375_c	KFRAG_01375_c.fq.gz	NaN	haploid	93_003	IVP35
MM1196	KFRAG_01376	KFRAG_01376.fq.gz	NaN	haploid	WA_077	IVP35
MM1196	KFRAG_01376_b	KFRAG_01376_b.fq.gz	NaN	haploid	WA_077	IVP35
MM1196	KFRAG_01376_c	KFRAG_01376_c.fq.gz	NaN	haploid	WA_077	IVP35
MM1197	KFRAG_01377	KFRAG_01377.fq.gz	NaN	haploid	WA_077	IVP35
MM1197	KFRAG_01377_b	KFRAG_01377_b.fq.gz	NaN	haploid	WA_077	IVP35
MM1197	KFRAG_01377_c	KFRAG_01377_c.fq.gz	NaN	haploid	WA_077	IVP35
MM1198	KFRAG_01378	KFRAG_01378.fq.gz	NaN	haploid	WA_077	IVP35
MM1198	KFRAG_01378_b	KFRAG_01378_b.fq.gz	NaN	haploid	WA_077	IVP35
MM1198	KFRAG_01378_c	KFRAG_01378_c.fq.gz	NaN	haploid	WA_077	IVP35
MM1199	KFRAG_01379	KFRAG_01379.fq.gz	NaN	haploid	WA_077	IVP35
MM1199	KFRAG_01379_b	KFRAG_01379_b.fq.gz	NaN	haploid	WA_077	IVP35
MM1199	KFRAG_01379_c	KFRAG_01379_c.fq.gz	NaN	haploid	WA_077	IVP35
MM1200	KFRAG_01380	KFRAG_01380.fq.gz	NaN	haploid	WA_077	IVP101
MM1200	KFRAG_01380_b	KFRAG_01380_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1200	KFRAG_01380_c	KFRAG_01380_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1201	KFRAG_01381	KFRAG_01381.fq.gz	NaN	haploid	WA_077	IVP101
MM1201	KFRAG_01381_b	KFRAG_01381_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1201	KFRAG_01381_c	KFRAG_01381_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1202	KFRAG_01382	KFRAG_01382.fq.gz	NaN	haploid	WA_077	IVP101
MM1202	KFRAG_01382_b	KFRAG_01382_b.fq.gz	NaN	haploid	WA_077	IVP101
MM1202	KFRAG_01382_c	KFRAG_01382_c.fq.gz	NaN	haploid	WA_077	IVP101
MM1203	KFRAG_01383	KFRAG_01383.fq.gz	NaN	haploid	WA_077	IVP101
MM1203	KFRAG_01383_b	KFRAG_01383_b.fq.gz	NaN	haploid	WA_077	IVP101
